StockID,Date,ROE ,OPR,TOAR,TOTC,TAGR,NPGR,IRBR,CurrRatio,QuiRatio,CashRatio,ALR,EquiRatio,Label
600177,2021/12/31,0.163355,0.453877,43.346995,0.169611,0.002611,-0.368672,-0.42422,0.938532,0.526545,0.273909,0.574047,1.347676,A
600220,2021/12/31,0.048995,0.07101,3.110618,0.420055,-0.034522,-0.199566,-0.082345,1.046795,0.656523,0.34712,0.509893,1.040372,C
600398,2021/12/31,0.165664,0.160968,19.740377,0.64077,0.138707,-0.006255,0.499917,1.835104,1.193169,0.858283,0.521081,1.088035,B
600400,2021/12/31,0.02278,0.045612,4.310091,0.478866,0.04878,-1.15753,0.233664,1.489308,1.396783,0.760314,0.335132,0.504057,C
600439,2021/12/31,0.021637,0.044628,6.821569,0.325266,-0.006633,-0.183778,0.301417,2.362629,0.401714,0.198689,0.420321,0.725092,B
600448,2021/12/31,-0.04097,-0.013978,9.438807,0.940023,0.028471,-19.925438,0.127014,0.885336,0.435122,0.052228,0.647698,1.838473,C
600493,2021/12/31,0.091357,0.070479,6.640563,0.61622,0.105701,-1.009134,-0.101462,1.062293,0.712773,0.237571,0.604578,1.528943,B
600527,2021/12/31,0.042383,0.130872,70.594118,0.346191,-0.0366,0.531672,0.138719,16.590832,12.557096,2.182428,0.056284,0.059641,A
600612,2021/12/31,0.241428,0.055075,331.041985,2.634844,0.138606,-0.185653,-0.51065,2.079917,0.837672,0.697112,0.512516,1.051348,A
600630,2021/12/31,-0.217494,-0.102803,10.545671,1.245023,-0.098025,-43.933206,-0.326465,2.027066,1.442519,0.429781,0.476426,0.90995,C
600735,2021/12/31,0.107477,0.098872,9.230245,0.854236,0.404386,0.089065,0.349873,1.7834,1.163453,0.535036,0.381356,0.616439,B
600916,2021/12/31,0.133895,0.01879,45.173153,4.605897,0.220771,0.504433,0.340948,2.517634,1.5264,1.109666,0.397634,0.66012,A
600987,2021/12/31,0.127852,0.091639,31.068073,1.202848,0.056245,0.595232,-0.014668,3.4132,2.50594,0.875303,0.230007,0.298713,A
601339,2021/12/31,0.162357,0.189377,11.911381,0.544641,0.08468,1.40197,0.355201,1.710672,0.677833,0.277214,0.369949,0.587173,B
601566,2021/12/31,0.044357,0.072079,17.659788,0.495289,0.042179,-1.630614,0.132019,1.477821,0.965241,0.113347,0.342317,0.520488,B
601599,2021/12/31,0.090074,0.112964,7.134118,0.727649,-0.117944,-0.857573,-0.388863,1.440178,0.860624,0.243917,0.638759,1.768235,B
601718,2021/12/31,-0.019093,-0.019006,7.461152,0.54751,-0.057436,-1.630614,0.308101,1.805392,1.39277,0.684112,0.403999,0.677849,B
603001,2021/12/31,0.009683,0.010895,2.963744,0.677432,0.007005,-1.630614,0.314195,3.495149,2.691525,0.832807,0.206134,0.259658,B
603055,2021/12/31,0.138062,0.121731,6.71663,0.662205,0.178777,-0.255389,-0.032928,1.556282,0.818999,0.171985,0.423057,0.733273,B
603116,2021/12/31,0.013863,0.03057,3.904894,0.551926,-0.068651,0.025956,0.233341,2.96711,2.405293,0.778327,0.245773,0.325861,B
603157,2021/12/31,-0.160634,-1.68461,4.848261,0.178709,-0.30952,-1.630614,-0.244109,0.117048,0.09959,0.017598,1.627194,-2.594403,C
603196,2021/12/31,0.09672,0.100097,25.885552,0.852081,0.10102,-0.321083,0.153034,1.932046,1.132167,0.64693,0.28931,0.407083,B
603365,2021/12/31,0.154531,0.120312,17.532624,1.093531,0.156123,0.582472,0.604954,3.755312,2.469728,1.61593,0.241019,0.317555,B
603511,2021/12/31,0.088227,0.109918,19.729401,0.689837,0.295098,19.89122,0.433876,5.496353,3.46262,1.236243,0.1415,0.164822,A
